Date,P/E
27-Jan-21,37.52
28-Jan-21,36.96
29-Jan-21,36.57
1-Feb-21,38.26
2-Feb-21,38.79
3-Feb-21,39.16
4-Feb-21,40.81
5-Feb-21,41.46
8-Feb-21,42
9-Feb-21,41.97
10-Feb-21,41.81
11-Feb-21,41.65
12-Feb-21,41.58
15-Feb-21,41.59
16-Feb-21,41.78
17-Feb-21,41.49
18-Feb-21,41.26
19-Feb-21,40.88
22-Feb-21,40.05
23-Feb-21,40.14
24-Feb-21,40.88
25-Feb-21,41.2
26-Feb-21,39.65
1-Mar-21,40.28
2-Mar-21,40.71
3-Mar-21,41.6
4-Mar-21,41.15
5-Mar-21,40.76
8-Mar-21,40.74
9-Mar-21,41.12
10-Mar-21,41.33
12-Mar-21,40.94
15-Mar-21,40.66
16-Mar-21,40.61
17-Mar-21,40.1
18-Mar-21,39.65
19-Mar-21,40.16
22-Mar-21,40.14
23-Mar-21,40.35
24-Mar-21,39.63
25-Mar-21,39.02
26-Mar-21,39.51
30-Mar-21,40.43
31-Mar-21,33.2
1-Apr-21,33.6
5-Apr-21,33.08
6-Apr-21,33.18
7-Apr-21,33.49
8-Apr-21,33.61
9-Apr-21,33.53
12-Apr-21,32.34
13-Apr-21,32.72
15-Apr-21,32.78
16-Apr-21,32.84
19-Apr-21,32.12
20-Apr-21,31.97
22-Apr-21,32.22
23-Apr-21,32.07
26-Apr-21,32.39
27-Apr-21,32.28
28-Apr-21,32.72
29-Apr-21,32.79
30-Apr-21,32.21
3-May-21,31.54
4-May-21,30.47
5-May-21,30.65
6-May-21,30.82
7-May-21,30.23
10-May-21,30.43
11-May-21,30.14
12-May-21,29.83
14-May-21,29.79
17-May-21,30.2
18-May-21,30.53
19-May-21,29.98
20-May-21,29.59
21-May-21,29.48
24-May-21,29.52
25-May-21,29.25
26-May-21,29.41
27-May-21,29.48
28-May-21,28.98
31-May-21,29.22
1-Jun-21,28.87
2-Jun-21,28.88
3-Jun-21,29.1
4-Jun-21,29.06
7-Jun-21,29.21
8-Jun-21,29.19
9-Jun-21,28.99
10-Jun-21,29.18
11-Jun-21,29.3
14-Jun-21,29.32
15-Jun-21,29.43
16-Jun-21,29.24
17-Jun-21,29.1
18-Jun-21,29.08
21-Jun-21,29.19
22-Jun-21,29.05
23-Jun-21,28.89
24-Jun-21,29.08
25-Jun-21,29.21
28-Jun-21,29.12
29-Jun-21,29
30-Jun-21,28.33
1-Jul-21,28.26
2-Jul-21,28.33
5-Jul-21,28.53
6-Jul-21,28.5
7-Jul-21,28.62
8-Jul-21,28.34
9-Jul-21,28.27
12-Jul-21,28.21
13-Jul-21,28.43
14-Jul-21,28.5
15-Jul-21,28.63
16-Jul-21,28.53
19-Jul-21,28.23
20-Jul-21,27.89
22-Jul-21,28.22
23-Jul-21,28.28
26-Jul-21,28.13
27-Jul-21,27.45
28-Jul-21,26.98
29-Jul-21,27.08
30-Jul-21,27.01
2-Aug-21,27.21
3-Aug-21,27.31
4-Aug-21,27.39
5-Aug-21,26.72
6-Aug-21,26.51
9-Aug-21,26.53
10-Aug-21,26.35
11-Aug-21,26.34
12-Aug-21,26.25
13-Aug-21,26.51
16-Aug-21,25.62
17-Aug-21,25.46
18-Aug-21,25.39
20-Aug-21,25.21
23-Aug-21,25.28
24-Aug-21,25.47
25-Aug-21,25.49
26-Aug-21,25.49
27-Aug-21,25.6
30-Aug-21,25.94
31-Aug-21,26.25
1-Sep-21,26.17
2-Sep-21,26.41
3-Sep-21,26.54
6-Sep-21,26.63
1-Oct-21,26.84
4-Oct-21,27.09
5-Oct-21,27.29
6-Oct-21,27.02
7-Oct-21,27.24
8-Oct-21,27.4
11-Oct-21,27.48
12-Oct-21,27.49
13-Oct-21,27.75
14-Oct-21,28.02
18-Oct-21,28.17
19-Oct-21,27.97
20-Oct-21,27.72
21-Oct-21,27.58
22-Oct-21,27.48
25-Oct-21,27.29
26-Oct-21,27.16
27-Oct-21,27.06
28-Oct-21,26.39
29-Oct-21,25.71
1-Nov-21,26.07
2-Nov-21,25.95
3-Nov-21,25.98
4-Nov-21,26.11
8-Nov-21,26.25
9-Nov-21,26.06
10-Nov-21,26.03
11-Nov-21,25.65
12-Nov-21,25.98
15-Nov-21,26
16-Nov-21,24.83
17-Nov-21,24.69
18-Nov-21,24.51
22-Nov-21,24.03
23-Nov-21,24.15
24-Nov-21,24.03
25-Nov-21,24.19
26-Nov-21,23.49
29-Nov-21,23.53
30-Nov-21,23.43
1-Dec-21,23.68
2-Dec-21,24.01
