Date,Open,High,Low,Close,Adj Close,Volume
3/2/2020,11387.34961,11433,11036.25,11132.75,11132.75,680800
3/3/2020,11217.54981,11342.25,11152.54981,11303.29981,11303.29981,696500
3/4/2020,11351.34961,11356.59961,11082.15039,11251,11251,797700
3/5/2020,11306.04981,11389.5,11244.59961,11269,11269,1352500
3/6/2020,10942.65039,11035.09961,10827.40039,10989.4502,10989.4502,1811000
3/9/2020,10742.04981,10751.54981,10294.4502,10451.4502,10451.4502,1565500
3/11/2020,10334.29981,10545.09961,10334,10458.40039,10458.40039,1218500
3/12/2020,10039.9502,10040.75,9508,9590.150391,9590.150391,1343500
3/13/2020,9107.599609,10159.40039,8555.150391,9955.200195,9955.200195,1388000
3/16/2020,9587.799805,9602.200195,9165.099609,9197.400391,9197.400391,897700
3/17/2020,9285.400391,9403.799805,8915.599609,8967.049805,8967.049805,935600
3/18/2020,9088.450195,9127.549805,8407.049805,8468.799805,8468.799805,1516600
3/19/2020,8063.299805,8575.450195,7832.549805,8263.450195,8263.450195,925700
3/20/2020,8284.450195,8883,8178.200195,8745.450195,8745.450195,1071500
3/23/2020,7945.700195,8159.25,7583.600098,7610.25,7610.25,653500
3/24/2020,7848.299805,8036.950195,7511.100098,7801.049805,7801.049805,738400
3/25/2020,7735.149902,8376.75,7714.75,8317.849609,8317.849609,736900
3/26/2020,8451,8749.049805,8304.900391,8641.450195,8641.450195,865600
3/27/2020,8949.099609,9038.900391,8522.900391,8660.25,8660.25,801500
3/30/2020,8385.950195,8576,8244,8281.099609,8281.099609,593300
3/31/2020,8529.349609,8678.299805,8358,8597.75,8597.75,712700
4/1/2020,8584.099609,8588.099609,8198.349609,8253.799805,8253.799805,506300
4/3/2020,8356.549805,8356.549805,8055.799805,8083.799805,8083.799805,697000
4/7/2020,8446.299805,8819.400391,8360.950195,8792.200195,8792.200195,814200
4/8/2020,8688.900391,9131.700195,8653.900391,8748.75,8748.75,896500
4/9/2020,8973.049805,9128.349609,8904.549805,9111.900391,9111.900391,742100
4/13/2020,9103.950195,9112.049805,8912.400391,8993.849609,8993.849609,644000
4/15/2020,9196.400391,9261.200195,8874.099609,8925.299805,8925.299805,879100
4/16/2020,8851.25,9053.75,8821.900391,8992.799805,8992.799805,719400
4/17/2020,9323.450195,9324,9091.349609,9266.75,9266.75,684200
4/20/2020,9390.200195,9390.849609,9230.799805,9261.849609,9261.849609,726400
4/21/2020,9016.950195,9044.400391,8909.400391,8981.450195,8981.450195,655100
4/22/2020,9026.75,9209.75,8946.25,9187.299805,9187.299805,734400
4/23/2020,9232.349609,9343.599609,9170.150391,9313.900391,9313.900391,666700
4/24/2020,9163.900391,9296.900391,9141.299805,9154.400391,9154.400391,659400
4/27/2020,9259.700195,9377.099609,9250.349609,9282.299805,9282.299805,512800
4/28/2020,9389.799805,9404.400391,9260,9380.900391,9380.900391,614500
4/29/2020,9408.599609,9599.849609,9392.349609,9553.349609,9553.349609,653000
4/30/2020,9753.5,9889.049805,9731.5,9859.900391,9859.900391,931200
5/4/2020,9533.5,9533.5,9266.950195,9293.5,9293.5,687500
5/5/2020,9429.400391,9450.900391,9190.75,9205.599609,9205.599609,725200
5/6/2020,9226.799805,9346.900391,9116.5,9270.900391,9270.900391,722200
5/7/2020,9234.049805,9277.849609,9175.900391,9199.049805,9199.049805,708700
5/8/2020,9376.950195,9382.650391,9238.200195,9251.5,9251.5,609100
5/11/2020,9348.150391,9439.900391,9219.950195,9239.200195,9239.200195,704600
5/12/2020,9168.849609,9240.849609,9043.950195,9196.549805,9196.549805,805500
5/13/2020,9584.200195,9584.5,9351.099609,9383.549805,9383.549805,846400
